Owner Name,County,Address,Price,Sold Date,Agent Phone
N/A,Davidson,"4849  BRICK CHURCH  PIKE, GOODLETTSVILLE, TN","$850,000",12/23/2025,N/A
N/A,Davidson,"0  OLD HICKORY  BLVD, ANTIOCH, TN","$250,000",12/30/2025,N/A
N/A,Davidson,"13640  OLD HICKORY  BLVD, ANTIOCH, TN","$650,000",12/30/2025,N/A
N/A,Davidson,"0  OLD HICKORY  BLVD, ANTIOCH, TN","$250,000",12/30/2025,N/A
N/A,Davidson,"4022  WHITES CREEK  PIKE, WHITES CREEK, TN","$700,000",12/30/2025,N/A
N/A,Davidson,"0  HIGDON  RD, JOELTON, TN","$340,000",12/30/2025,N/A
N/A,Davidson,"538  CEDAR  DR, NASHVILLE, TN","$178,500",12/23/2025,N/A
N/A,Davidson,"1755  RED JACKET  DR, ANTIOCH, TN","$269,000",12/23/2025,N/A
N/A,Davidson,"92  THOMPSON  LN, NASHVILLE, TN","$450,000",12/23/2025,N/A
N/A,Davidson,"1345  BELL  RD, ANTIOCH, TN","$299,900",12/23/2025,N/A
N/A,Davidson,"1113  FREWIN  ST, NOLENSVILLE, TN","$339,000",12/23/2025,N/A
N/A,Davidson,"548 C  ROSEDALE  AVE, NASHVILLE, TN","$958,000",12/23/2025,N/A
N/A,Davidson,"5568  TROUSDALE  DR, BRENTWOOD, TN","$810,000",12/23/2025,N/A
N/A,Davidson,"605  ELAINE  DR, NASHVILLE, TN","$640,000",12/23/2025,N/A
N/A,Davidson,"548 A  ROSEDALE  AVE, NASHVILLE, TN","$958,000",12/23/2025,N/A
N/A,Davidson,"548 B  ROSEDALE  AVE, NASHVILLE, TN","$958,000",12/23/2025,N/A
N/A,Davidson,"548 D  ROSEDALE  AVE, NASHVILLE, TN","$958,000",12/23/2025,N/A
N/A,Davidson,"548 E  ROSEDALE  AVE, NASHVILLE, TN","$958,000",12/23/2025,N/A
N/A,Davidson,"548 F  ROSEDALE  AVE, NASHVILLE, TN","$958,000",12/23/2025,N/A
N/A,Davidson,"2328   FOREST LAKE  DR, NASHVILLE, TN","$645,000",12/23/2025,N/A
N/A,Davidson,"2521  KANLOW  DR, ANTIOCH, TN","$350,000",12/26/2025,N/A
N/A,Davidson,"542   SOUTHGATE  AVE, NASHVILLE, TN","$493,000",12/26/2025,N/A
N/A,Davidson,"1100  3RD  AVE S, NASHVILLE, TN","$1,000,000",12/29/2025,N/A
N/A,Davidson,"304  ELBERTA  ST, NASHVILLE, TN","$510,000",12/29/2025,N/A
N/A,Davidson,"106   IRETON  ALY, ANTIOCH, TN","$483,380",12/29/2025,N/A
N/A,Davidson,"102  NORTHCREST  CT, NASHVILLE, TN","$239,000",12/29/2025,N/A
N/A,Davidson,"561   WATSONWOOD  DR, NASHVILLE, TN","$862,000",12/29/2025,N/A
N/A,Davidson,"900  S LANE  CT, BRENTWOOD, TN","$610,000",12/29/2025,N/A
N/A,Davidson,"406  OLD TOWNE  DR, BRENTWOOD, TN","$495,000",12/29/2025,N/A
N/A,Davidson,"3318  DUMAS  DR, NASHVILLE, TN","$738,000",12/29/2025,N/A
N/A,Davidson,"844   LEWIS  WAY, ANTIOCH, TN","$450,000",12/29/2025,N/A
N/A,Davidson,"213  JOANN  CT, NASHVILLE, TN","$285,000",12/29/2025,N/A
N/A,Davidson,"332   STONEHAUS  CIR, ANTIOCH, TN","$460,965",12/29/2025,N/A
N/A,Davidson,"9700   WILD ROSE  LOOP, ANTIOCH, TN","$540,000",12/29/2025,N/A
N/A,Davidson,"9708   WILD ROSE  LOOP, ANTIOCH, TN","$405,000",12/29/2025,N/A
N/A,Davidson,"1436  BELL TRACE  DR, ANTIOCH, TN","$345,000",12/29/2025,N/A
N/A,Davidson,"1712 B  CARVELL  AVE, NASHVILLE, TN","$785,000",12/29/2025,N/A
N/A,Davidson,"3929  BRADLEY  CT, ANTIOCH, TN","$288,000",12/29/2025,N/A
N/A,Davidson,"3020  HARLIN  DR, NASHVILLE, TN","$378,000",12/29/2025,N/A
N/A,Davidson,"362  GLENROSE  AVE, NASHVILLE, TN","$258,000",12/30/2025,N/A
N/A,Davidson,"1435  WINDING CREEK  DR, NOLENSVILLE, TN","$349,900",12/30/2025,N/A
N/A,Davidson,"828   LEWIS  WAY, ANTIOCH, TN","$460,000",12/30/2025,N/A
N/A,Davidson,"325  MELPAR  DR, NASHVILLE, TN","$337,000",12/30/2025,N/A
N/A,Davidson,"9704   WILD ROSE  LOOP, ANTIOCH, TN","$480,000",12/30/2025,N/A
