owner_name,address,city,parcel_id,lot_number,sale_date,sale_price,property_type,bedrooms,bathrooms,square_feet,year_built,sale_price_clean,county,scrape_date,scrape_timestamp
1005 SCRAMBLERS KNOB REVOCABLE TRUST,1005 SCRAMBLERS KNOB,Unincorporated (000),052 04200 000,0036,12/15/2025,$0,,,,,,0.0,Williamson,2026-01-20,2026-01-20 23:01:29
100 ADDISON TRUST,100 ADDISON AVE,Franklin (263967),064O F 07600 000,0393,7/12/2025,$0,,,,,,0.0,Williamson,2026-01-20,2026-01-20 23:01:29
1018 BOUNDARY STREET TRUST,1018 BOUNDARY ST,Franklin (263967),064N E 00900 000,2507,3/13/2025,"$849,900",,,,,,849900.0,Williamson,2026-01-20,2026-01-20 23:01:29
1024 VAUGHN CREST LLC,1024 VAUGHN CREST DR,Unincorporated (000),006M E 00300 000,11113,12/4/2025,"$3,799,000",,,,,,3799000.0,Williamson,2026-01-20,2026-01-20 23:01:29
103 GRENADIER DRIVE TRUST,103 GRENADIER DR,Franklin (263264),062P F 04000 000,0144,5/21/2025,$0,,,,,,0.0,Williamson,2026-01-20,2026-01-20 23:01:29
105 TELFAIR LANE TRUST,105 TELFAIR LN,Nolensville (535),058J A 00200 000,0002,12/2/2025,$0,,,,,,0.0,Williamson,2026-01-20,2026-01-20 23:01:29
1111 LAKEVIEW DRIVE LLC,1111 LAKEVIEW DR,Franklin (263264),079F A 00500 000,0004,4/24/2025,$0,,,,,,0.0,Williamson,2026-01-20,2026-01-20 23:01:29
120 CADET LANE TRUST,120 CADET LN,Franklin (263264),062P F 00100 000,0097,6/10/2025,"$344,000",,,,,,344000.0,Williamson,2026-01-20,2026-01-20 23:01:29
1211 HABER DEV LLC,1211 HABER DR,Brentwood (086),035B A 01900 000,0004,7/23/2025,"$1,052,500",,,,,,1052500.0,Williamson,2026-01-20,2026-01-20 23:01:29
1215 PARKER PL LLC,1215 PARKER PL,Brentwood (086),035H B 02800 000,0049,6/16/2025,"$850,000",,,,,,850000.0,Williamson,2026-01-20,2026-01-20 23:01:29
1219 BEECH HILL LLC,1219 BEECH HILL,Unincorporated (000),027 04318 000,,10/14/2025,"$3,650,000",,,,,,3650000.0,Williamson,2026-01-20,2026-01-20 23:01:29
1222 BEECH HILL LLC,1222 BEECH HILL,Unincorporated (000),027 04314 000,,9/15/2025,"$6,025,000",,,,,,6025000.0,Williamson,2026-01-20,2026-01-20 23:01:29
128 HOLIDAY CT HOLDINGS LLC,128 HOLIDAY CT #A-12,Franklin (263264),079F B 00900C012,A-12,7/18/2025,"$720,000",,,,,,720000.0,Williamson,2026-01-20,2026-01-20 23:01:29
1309 SAWYER BEND CIRCLE FRANKLIN TENNESSEE LAND TRUST,1309 SAWYER BEND CIR,Unincorporated (000),006O B 00700 000,0016,10/16/2025,"$317,697",,,,,,317697.0,Williamson,2026-01-20,2026-01-20 23:01:29
1433 PLYMOUTH DRIVE TRUST,1433 PLYMOUTH DR,Brentwood (086),036E D 01800 000,0119,6/10/2025,"$1,650,000",,,,,,1650000.0,Williamson,2026-01-20,2026-01-20 23:01:29
1446 GOVERNORS RIDGE CT TRUST,1446 GOVERNORS RIDGE CT,Franklin (263264),089H B 02000 000,1120,2/5/2025,$0,,,,,,0.0,Williamson,2026-01-20,2026-01-20 23:01:29
1472 WILLOWBROOKE TRUST,1472 WILLOWBROOKE CIR,Unincorporated (000),014E B 01100 000,7109,5/27/2025,"$2,905,000",,,,,,2905000.0,Williamson,2026-01-20,2026-01-20 23:01:29
150 N ROYAL OAKS TRUST,150 N ROYAL OAKS BLVD,Franklin (263264),079F A 03400 000,0042,7/9/2025,$0,,,,,,0.0,Williamson,2026-01-20,2026-01-20 23:01:29
