Owner Name,Address,Price,Sold Date,Agent Phone
1005 SCRAMBLERS KNOB Trust,"1005 SCRAMBLERS KNOB, Unincorporated, TN","$36,000","2025-12-15",N/A
1024 VAUGHN CREST LLC,"1024 VAUGHN CREST Drive, Unincorporated, TN","$111,130","2025-12-04",N/A
105 TELFAIR Trust,"105 TELFAIR Lane, Nolensville, TN","$2,000","2025-12-02",N/A
1219 BEECH HILL LLC,"1219 BEECH HILL, Unincorporated, TN","Contact Agent","2025-10-14",N/A
1309 SAWYER BEND CIRCLE Trust,"1309 SAWYER BEND Circle, Unincorporated, TN","$16,000","2025-10-16",N/A
1532 BUNBURY Trust,"1532 BUNBURY Drive, Spring Hill, TN","$53,000","2025-10-30",N/A
1589 BIRCHWOOD CIRCLE LLC,"1589 BIRCHWOOD Circle, Franklin, TN","$55,000","2025-11-14",N/A
1800 GREY Trust,"1800 GREY Pointe Drive, Brentwood, TN","Contact Agent","2025-11-17",N/A
1801 HAVEN ROCK ROAD LLC,"1801 HAVEN ROCK Road, Thompson's Station, TN","$14,000","2025-11-17",N/A
1804 HAVEN ROCK ROAD LLC,"1804 HAVEN ROCK Private Road, Thompson's Station, TN","$16,000","2025-11-17",N/A
1997 TAHOE Trust,"1853 PAGEANTRY Circle, Brentwood, TN","$106,000","2025-11-07",N/A
2015 Trust,"1401 WESTHAVEN Boulevard, Franklin, TN","$822,000","2025-10-15",N/A
2025 FUHRMAN Trust,"6069 PASQUO Road, Unincorporated, TN","$714,000","2025-11-12",N/A
203 BEASLEY DRIVE LLC,"203 BEASLEY Drive, Franklin, TN","$20,000 & $21,000","2025-11-26",N/A
